order_id,user_id,order_timestamp,total_amount,item_count,shipping_fee,discount,status
1,3131,2023-08-25 13:41:24.350941,1015.85,5,9.99,0.0,completed
2,7175,2023-08-31 17:15:00.849024,411.87,2,9.99,0.0,completed
3,17892,2023-09-08 11:54:27.860508,346.87,2,4.99,0.0,completed
4,18334,2023-09-10 20:22:42.379541,169.27,2,9.99,0.0,completed
5,3478,2023-09-12 14:56:46.803249,697.05,4,0.0,69.7,completed
6,1951,2023-09-14 20:34:53.833552,736.27,3,0.0,147.25,cancelled
7,21263,2023-09-20 21:54:54.772331,1023.84,5,0.0,0.0,returned
8,4374,2023-09-22 21:37:35.245315,301.73,2,0.0,60.35,completed
9,438,2023-09-24 18:18:54.670023,668.07,2,4.99,133.61,completed
10,20085,2023-09-26 12:09:39.681466,625.42,3,9.99,93.81,completed
11,20085,2023-09-28 15:40:04.881710,537.8,2,4.99,53.78,completed
12,9173,2023-09-30 08:21:25.212636,707.74,4,9.99,70.77,completed
13,11525,2023-09-30 19:46:27.950436,214.67,1,0.0,0.0,cancelled
14,19882,2023-10-01 01:15:40.363159,630.87,5,0.0,0.0,cancelled
15,21357,2023-10-04 03:39:37.449645,450.1,3,4.99,90.02,completed
16,9651,2023-10-08 15:17:16.078484,724.79,4,0.0,144.96,cancelled
17,5440,2023-10-08 19:50:30.563983,493.13,2,4.99,49.31,completed
18,10656,2023-10-10 06:27:05.104162,256.68,3,0.0,25.67,cancelled
19,8080,2023-10-11 00:24:12.009156,1124.33,5,9.99,112.43,cancelled
20,5488,2023-10-12 13:18:20.856751,720.23,3,0.0,0.0,completed
21,8278,2023-10-15 20:53:09.897347,116.41,1,9.99,11.64,completed
22,9785,2023-10-16 21:10:11.980597,631.69,3,0.0,0.0,shipped
23,18478,2023-10-17 19:59:13.116497,799.87,4,4.99,0.0,shipped
24,18513,2023-10-19 02:45:09.492447,943.84,4,9.99,0.0,completed
25,9203,2023-10-22 10:43:46.571627,514.05,2,9.99,0.0,shipped
26,7398,2023-10-24 16:13:41.804804,1080.53,5,9.99,0.0,cancelled
27,24591,2023-10-27 19:01:35.053204,791.42,3,0.0,158.28,completed
28,3998,2023-10-29 07:24:31.194748,838.2,3,9.99,125.73,shipped
29,4637,2023-10-30 00:08:37.452579,676.58,4,4.99,135.32,completed
30,21048,2023-11-01 02:26:52.226528,309.13,2,0.0,0.0,completed
31,24504,2023-11-03 00:09:16.992947,723.51,5,9.99,0.0,completed
32,12802,2023-11-03 11:10:52.456985,209.06,3,9.99,31.36,completed
33,5488,2023-11-05 08:17:40.753761,736.1,5,4.99,147.22,shipped
34,10650,2023-11-08 01:01:37.883864,411.12,3,4.99,0.0,completed
35,9651,2023-11-08 21:51:50.517545,648.85,2,0.0,0.0,returned
36,14597,2023-11-15 15:19:15.473273,759.08,5,4.99,0.0,completed
37,2922,2023-11-15 22:45:05.308189,288.73,1,4.99,57.75,shipped
38,20232,2023-11-18 15:02:56.013726,570.65,4,4.99,114.13,completed
39,4069,2023-11-19 11:22:38.745107,906.41,5,0.0,135.96,completed
40,10950,2023-11-20 06:27:55.060973,306.92,2,0.0,0.0,completed
41,23386,2023-11-21 10:57:08.734492,213.27,2,0.0,0.0,completed
42,798,2023-11-21 15:54:02.286949,404.98,3,4.99,40.5,shipped
43,8290,2023-11-23 01:55:23.882156,575.79,2,0.0,86.37,returned
44,799,2023-11-27 21:56:06.132711,352.16,3,9.99,0.0,completed
45,2473,2023-11-29 08:44:46.489659,953.62,3,4.99,95.36,completed
46,17821,2023-11-30 16:54:33.875937,102.59,2,4.99,0.0,completed
47,24922,2023-12-01 16:21:37.755860,902.82,5,0.0,0.0,completed
